Survey_strategy Optic Science_case Science_code M1_%pix M1_%priority
wide_area F146 Daylan SP26 0.0 0.0
deep_spec F146 Daylan SP26 0.0 0.0
time_domain F146 Daylan SP26 0.0 0.0
wide_area F129 Morihana1 SP22 100.0 100.0
deep_spec F129 Morihana1 SP22 2.5587828492392806 3.0821917808219177
time_domain F129 Morihana1 SP22 5.255878284923928 5.205479452054795
wide_area F158 Morihana1 SP22 100.0 100.0
deep_spec F158 Morihana1 SP22 2.5587828492392806 3.0821917808219177
time_domain F158 Morihana1 SP22 5.255878284923928 5.205479452054795
wide_area F213 Morihana1 SP22 100.0 100.0
deep_spec F213 Morihana1 SP22 2.5587828492392806 3.0821917808219177
time_domain F213 Morihana1 SP22 5.255878284923928 5.205479452054795
wide_area F129 Lucas SP24 56.45000453268063 56.45000453268063
deep_spec F129 Lucas SP24 1.5411114132898196 1.5411114132898196
time_domain F129 Lucas SP24 3.136614994107515 3.136614994107515
wide_area F158 Lucas SP24 56.45000453268063 56.45000453268063
deep_spec F158 Lucas SP24 1.5411114132898196 1.5411114132898196
time_domain F158 Lucas SP24 3.136614994107515 3.136614994107515
wide_area F213 Lucas SP24 56.45000453268063 56.45000453268063
deep_spec F213 Lucas SP24 1.5411114132898196 1.5411114132898196
time_domain F213 Lucas SP24 3.136614994107515 3.136614994107515
wide_area F106 Wang SP23 0.0 0.0
deep_spec F106 Wang SP23 0.0 0.0
time_domain F106 Wang SP23 80.0 80.0
wide_area F158 Wang SP23 100.0 100.0
deep_spec F158 Wang SP23 0.0 0.0
time_domain F158 Wang SP23 80.0 80.0
wide_area F213 Wang SP23 100.0 100.0
deep_spec F213 Wang SP23 0.0 0.0
time_domain F213 Wang SP23 80.0 80.0
wide_area F062 Sankrit SP33 0.0 0.0
deep_spec F062 Sankrit SP33 1.0617824673170084 1.0617824673170084
time_domain F062 Sankrit SP33 1.9178445815913463 1.9178445815913463
wide_area F129 Sankrit SP33 71.16596987192248 71.16596987192248
deep_spec F129 Sankrit SP33 1.0816908885792023 1.0816908885792023
time_domain F129 Sankrit SP33 2.70090915123764 2.70090915123764
wide_area F184 Sankrit SP33 65.83714911407526 65.83714911407526
deep_spec F184 Sankrit SP33 1.0617824673170084 1.0617824673170084
time_domain F184 Sankrit SP33 1.9178445815913463 1.9178445815913463
wide_area F213 Sankrit SP33 71.16596987192248 71.16596987192248
deep_spec F213 Sankrit SP33 1.0816908885792023 1.0816908885792023
time_domain F213 Sankrit SP33 2.70090915123764 2.70090915123764
wide_area G150 Pascucci SP37 0.0 0.0
deep_spec G150 Pascucci SP37 0.0 0.0
time_domain G150 Pascucci SP37 0.0 0.0
